trade_date,BUY_HOLD,A_MA10M,B_MA10M_MOM12_1,C_MA10M_VOLTARGET
2013-07-29,1.0,1.0,1.0,1.0
2013-07-30,1.0,1.0,1.0,1.0
2013-07-31,1.0,1.0,1.0,1.0
2013-08-01,0.9947308995107262,1.0,1.0,1.0
2013-08-02,0.9702672186676702,1.0,1.0,1.0
2013-08-05,0.989838163342115,1.0,1.0,1.0
2013-08-06,0.9751599548362815,1.0,1.0,1.0
2013-08-07,0.9687617613850206,1.0,1.0,1.0
2013-08-08,0.9732781332329694,1.0,1.0,1.0
2013-08-09,0.9845690628528415,1.0,1.0,1.0
2013-08-12,1.0007527286413247,1.0,1.0,1.0
2013-08-13,1.0067745577719232,1.0,1.0,1.0
2013-08-14,0.9936018065487392,1.0,1.0,1.0
2013-08-15,1.0086563793752352,1.0,1.0,1.0
2013-08-16,1.020700037636432,1.0,1.0,1.0
2013-08-19,1.0301091456529918,1.0,1.0,1.0
2013-08-20,1.0180654873917951,1.0,1.0,1.0
2013-08-21,1.0252164094843808,1.0,1.0,1.0
2013-08-22,1.0214527662777566,1.0,1.0,1.0
2013-08-23,1.0286036883703422,1.0,1.0,1.0
2013-08-26,1.043281896876176,1.0,1.0,1.0
2013-08-27,1.0459164471208129,1.0,1.0,1.0
2013-08-28,1.063981934512608,1.0,1.0,1.0
2013-08-29,1.0523146405720736,1.0,1.0,1.0
2013-08-30,1.048927361686112,1.0,1.0,1.0
2013-09-02,1.0414000752728638,1.0,1.0,1.0
2013-09-03,1.039518253669552,1.0,1.0,1.0
2013-09-04,1.048927361686112,1.0,1.0,1.0
2013-09-05,1.0353782461422656,1.0,1.0,1.0
2013-09-06,1.0255927738050432,1.0,1.0,1.0
2013-09-09,1.0372600677455777,1.0,1.0,1.0
2013-09-10,1.0319909672563041,1.0,1.0,1.0
2013-09-11,1.024463680843056,1.0,1.0,1.0
2013-09-12,1.00940910801656,1.0,1.0,1.0
2013-09-13,0.9868272487768158,1.0,1.0,1.0
2013-09-16,0.9902145276627774,1.0,1.0,1.0
2013-09-17,0.9819345126082046,1.0,1.0,1.0
2013-09-18,0.9744072261949566,1.0,1.0,1.0
2013-09-23,0.9894617990214526,1.0,1.0,1.0
2013-09-24,0.9868272487768157,1.0,1.0,1.0
2013-09-25,0.9894617990214526,1.0,1.0,1.0
2013-09-26,0.9905908919834397,1.0,1.0,1.0
2013-09-27,0.9868272487768156,1.0,1.0,1.0
2013-09-30,0.9969890854347004,1.0,1.0,1.0
2013-10-08,0.9898381633421147,1.0,1.0,1.0
2013-10-09,0.9841926985321788,1.0,1.0,1.0
2013-10-10,0.9766654121189308,1.0,1.0,1.0
2013-10-11,0.9668799397817083,1.0,1.0,1.0
2013-10-14,0.9570944674444859,1.0,1.0,1.0
2013-10-15,0.9533308242378619,1.0,1.0,1.0
2013-10-16,0.9593526533684603,1.0,1.0,1.0
2013-10-17,0.9525780955965372,1.0,1.0,1.0
2013-10-18,0.9804290553255547,1.0,1.0,1.0
2013-10-21,0.9815581482875421,1.0,1.0,1.0
2013-10-22,0.9766654121189309,1.0,1.0,1.0
2013-10-23,0.9875799774181405,1.0,1.0,1.0
2013-10-24,0.9875799774181405,1.0,1.0,1.0
2013-10-25,0.9856981558148286,1.0,1.0,1.0
2013-10-28,0.9883327060594652,1.0,1.0,1.0
2013-10-29,0.9932254422280764,1.0,1.0,1.0
2013-10-30,0.9902145276627772,1.0,1.0,1.0
2013-10-31,0.983439969890854,1.0,1.0,1.0
2013-11-01,0.9792999623635675,1.0,1.0,1.0
2013-11-04,0.9725254045916444,1.0,1.0,1.0
2013-11-05,0.9717726759503195,1.0,1.0,1.0
2013-11-06,0.9702672186676699,1.0,1.0,1.0
2013-11-07,0.9744072261949563,1.0,1.0,1.0
2013-11-08,0.9683853970643579,1.0,1.0,1.0
2013-11-11,0.9518253669552122,1.0,1.0,1.0
2013-11-12,0.9473089951072634,1.0,1.0,1.0
2013-11-13,0.941287165976665,1.0,1.0,1.0
2013-11-14,0.946932630786601,1.0,1.0,1.0
2013-11-15,0.9506962739932248,1.0,1.0,1.0
2013-11-18,0.9510726383138873,1.0,1.0,1.0
2013-11-19,0.9412871659766647,1.0,1.0,1.0
2013-11-20,0.9439217162213016,1.0,1.0,1.0
2013-11-21,0.9269853217914936,1.0,1.0,1.0
2013-11-22,0.9251035001881817,1.0,1.0,1.0
2013-11-25,0.917199849454271,1.0,1.0,1.0
2013-11-26,0.9277380504328182,1.0,1.0,1.0
2013-11-27,0.9232216785848694,1.0,1.0,1.0
2013-11-28,0.9183289424162582,1.0,1.0,1.0
2013-11-29,0.9194580353782453,1.0,1.0,1.0
2013-12-02,0.9220925856228821,1.0,1.0,1.0
2013-12-03,0.9074143771170484,1.0,1.0,1.0
2013-12-04,0.9062852841550612,1.0,1.0,1.0
2013-12-05,0.9141889348889716,1.0,1.0,1.0
2013-12-06,0.9100489273616853,1.0,1.0,1.0
2013-12-09,0.912683477606322,1.0,1.0,1.0
2013-12-10,0.9202107640195699,1.0,1.0,1.0
2013-12-11,0.9266089574708307,1.0,1.0,1.0
2013-12-12,0.9220925856228819,1.0,1.0,1.0
2013-12-13,0.9070380127963859,1.0,1.0,1.0
2013-12-16,0.9074143771170482,1.0,1.0,1.0
